Open,High,Low,Close,Volume,Symbol
3.37,3.37,3.37,3.37,175.0,PPSI
3.36,3.36,3.33,3.33,1889.0,PPSI
3.33,3.3932,3.3296,3.3932,2630.0,PPSI
3.33,3.33,3.32,3.32,1350.0,PPSI
3.33,3.33,3.33,3.33,173.0,PPSI
3.34,3.34,3.33,3.33,904.0,PPSI
3.34,3.34,3.33,3.33,3200.0,PPSI
3.33,3.3305,3.32,3.321,1796.0,PPSI
3.31,3.33,3.31,3.31,2980.0,PPSI
3.32,3.32,3.32,3.32,100.0,PPSI
3.32,3.32,3.32,3.32,191.0,PPSI
3.3399,3.3399,3.3399,3.3399,150.0,PPSI
3.32,3.322,3.32,3.322,300.0,PPSI
3.32,3.32,3.32,3.32,1050.0,PPSI
3.32,3.32,3.32,3.32,100.0,PPSI
3.3212,3.3212,3.3212,3.3212,200.0,PPSI
3.3311,3.3311,3.3311,3.3311,100.0,PPSI
3.33,3.33,3.33,3.33,280.0,PPSI
3.32,3.32,3.32,3.32,1080.0,PPSI
3.325,3.325,3.31,3.315,2050.0,PPSI
3.3,3.3,3.28,3.28,1703.0,PPSI
3.29,3.29,3.26,3.27,5279.0,PPSI
3.28,3.28,3.26,3.26,1600.0,PPSI
3.25,3.2599,3.23,3.235,3344.0,PPSI
3.23,3.23,3.22,3.22,939.0,PPSI
3.24,3.24,3.24,3.24,1097.0,PPSI
3.2488,3.25,3.2488,3.25,644.0,PPSI
3.29,3.29,3.29,3.29,1000.0,PPSI
3.26,3.27,3.242,3.242,3369.0,PPSI
3.25,3.25,3.24,3.25,1350.0,PPSI
3.256,3.256,3.256,3.256,750.0,PPSI
3.25,3.25,3.25,3.25,400.0,PPSI
3.24,3.24,3.24,3.24,365.0,PPSI
3.25,3.2589,3.25,3.25,2316.0,PPSI
3.25,3.25,3.25,3.25,190.0,PPSI
3.25,3.25,3.25,3.25,100.0,PPSI
3.25,3.2501,3.25,3.2501,519.0,PPSI
3.2499,3.2499,3.2499,3.2499,130.0,PPSI
3.24,3.24,3.23,3.23,2989.0,PPSI
3.24,3.24,3.24,3.24,11168.0,PPSI
3.25,3.26,3.25,3.26,862.0,PPSI
3.255,3.255,3.255,3.255,100.0,PPSI
