Datetime,Open,High,Low,Close,Volume,Symbol
44502.40,3.37,3.37,3.37,3.37,175.000,PPSI
44502.40,3.36,3.36,3.33,3.33,1889.000,PPSI
44502.41,3.33,3.3932,3.3296,3.3932,2630.000,PPSI
44502.41,3.33,3.33,3.32,3.32,1350.000,PPSI
44502.41,3.33,3.33,3.33,3.33,173.000,PPSI
44502.42,3.34,3.34,3.33,3.33,904.000,PPSI
44502.42,3.34,3.34,3.33,3.33,3200.000,PPSI
44502.43,3.33,3.3305,3.32,3.321,1796.000,PPSI
44502.43,3.31,3.33,3.31,3.31,2980.000,PPSI
44502.44,3.32,3.32,3.32,3.32,100.000,PPSI
44502.45,3.32,3.32,3.32,3.32,191.000,PPSI
44502.46,3.3399,3.3399,3.3399,3.3399,150.000,PPSI
44502.46,3.32,3.322,3.32,3.322,300.000,PPSI
44502.47,3.32,3.32,3.32,3.32,1050.000,PPSI
44502.47,3.32,3.32,3.32,3.32,100.000,PPSI
44502.48,3.3212,3.3212,3.3212,3.3212,200.000,PPSI
44502.48,3.3311,3.3311,3.3311,3.3311,100.000,PPSI
44502.48,3.33,3.33,3.33,3.33,280.000,PPSI
44502.49,3.32,3.32,3.32,3.32,1080.000,PPSI
44502.49,3.325,3.325,3.31,3.315,2050.000,PPSI
44502.50,3.3,3.3,3.28,3.28,1703.000,PPSI
44502.50,3.29,3.29,3.26,3.27,5279.000,PPSI
44502.51,3.28,3.28,3.26,3.26,1600.000,PPSI
44502.51,3.25,3.2599,3.23,3.235,3344.000,PPSI
44502.51,3.23,3.23,3.22,3.22,939.000,PPSI
44502.52,3.24,3.24,3.24,3.24,1097.000,PPSI
44502.52,3.2488,3.25,3.2488,3.25,644.000,PPSI
44502.52,3.29,3.29,3.29,3.29,1000.000,PPSI
44502.53,3.26,3.27,3.242,3.242,3369.000,PPSI
44502.54,3.25,3.25,3.24,3.25,1350.000,PPSI
44502.54,3.256,3.256,3.256,3.256,750.000,PPSI
44502.55,3.25,3.25,3.25,3.25,400.000,PPSI
44502.55,3.24,3.24,3.24,3.24,365.000,PPSI
44502.56,3.25,3.2589,3.25,3.25,2316.000,PPSI
44502.56,3.25,3.25,3.25,3.25,190.000,PPSI
44502.56,3.25,3.25,3.25,3.25,100.000,PPSI
44502.58,3.25,3.2501,3.25,3.2501,519.000,PPSI
44502.58,3.2499,3.2499,3.2499,3.2499,130.000,PPSI
44502.59,3.24,3.24,3.23,3.23,2989.000,PPSI
44502.59,3.24,3.24,3.24,3.24,11168.000,PPSI
44502.60,3.25,3.26,3.25,3.26,862.000,PPSI
44502.60,3.255,3.255,3.255,3.255,100.000,PPSI
44502.61,3.26,3.26,3.26,3.26,400.000,PPSI
44502.65,3.325,3.325,3.29,3.3,686.000,PPSI
44502.65,3.31,3.31,3.31,3.31,200.000,PPSI
44502.66,3.28,3.31,3.2702,3.2802,4335.000,PPSI
44502.66,3.3,3.3,3.3,3.3,529.000,PPSI
44502.67,3.3,3.36,3.29,3.3,2510.000,PPSI
44502.67,3.35,3.35,3.2626,3.2626,1129.000,PPSI
44502.77,3.2,3.2,3.2,3.2,200.000,PPSI
44502.79,3.2,3.2,3.2,3.2,200.000,PPSI
44503.30,3.33,3.33,3.33,3.33,100.000,PPSI
44503.40,3.3,3.3,3.3,3.3,140.000,PPSI
44503.41,3.22,3.2609,3.22,3.2609,600.000,PPSI
